side,hex1,hex2,p,q,h,v,az_deg_left_positive,az_deg_ipsi,el_deg,dir_front,dir_left,dir_up,source,n_fit,zhao_right_lens_row,zhao_p,zhao_q,col_type,col_type_basis,marker_evidence,R7R8_bodyIds,reiser_OL_v1_column_type,pin_distal_x,pin_distal_y,pin_distal_z,pin_proximal_x,pin_proximal_y,pin_proximal_z,pin_dir_az_left_deg,pin_dir_el_deg,lamina_centroid_x,lamina_centroid_y,lamina_centroid_z
L,4,4,-15,-14,0,-29,33.82,33.82,-73.25,0.23937,0.16037,-0.95759,zhao_uCT_match,1,11,-16.0,-15.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1}",R8y:218003;R7y:205628,,74090.0,49148.0,32227.0,69352.0,44796.0,35654.0,54.1,-36.7,,,
L,4,5,-14,-14,-1,-28,46.27,46.27,-70.33,0.23274,0.24328,-0.94162,zhao_uCT_match,1,19,-15.0,-15.0,pale,R7,"{""R7p"": 1, ""R8p"": 1}",R7p:209454;R8p:591900,,74041.0,48801.0,31132.0,69352.0,44464.0,34751.0,52.3,-36.2,,,
L,4,6,-13,-14,-2,-27,59.04,59.04,-69.39,0.18111,0.30188,-0.93598,zhao_uCT_match,1,30,-14.0,-15.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:237423;R7y:213665,,74244.0,48419.0,30198.0,69691.0,44133.0,34009.0,50.1,-35.8,,,
L,4,7,-12,-14,-3,-26,70.87,70.87,-66.58,0.13023,0.37551,-0.91762,zhao_uCT_match,1,43,-13.0,-15.0,unclear,,{},R7_unclear:200243;R8_unclear:244344,,74134.0,47904.0,29289.0,69600.0,43678.0,33440.0,47.5,-34.5,,,
L,4,8,-11,-14,-4,-25,79.91,79.91,-63.11,0.07923,0.44525,-0.8919,zhao_uCT_match,1,59,-12.0,-15.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:215610;R7y:213947,,74492.0,47413.0,28499.0,69962.0,43282.0,32854.0,46.1,-33.3,,,
L,4,9,-10,-14,-5,-24,88.19,88.19,-59.71,0.01593,0.50409,-0.86351,zhao_uCT_match,1,74,-11.0,-15.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1}",R7_unclear:195947;R8_unclear:185621,,74134.0,46873.0,27899.0,69726.0,42894.0,32633.0,43.0,-31.6,,,
L,4,10,-9,-14,-6,-23,94.8,94.8,-56.08,-0.04674,0.55609,-0.82981,zhao_uCT_match,1,96,-10.0,-15.0,unclear,,{},R7_unclear:187437;R8_unclear:199017,,74091.0,46298.0,27252.0,69747.0,42452.0,32174.0,41.4,-30.4,,,
L,4,11,-8,-14,-7,-22,100.5,100.5,-53.44,-0.10857,0.58563,-0.80327,zhao_uCT_match,1,112,-9.0,-15.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1}",R8y:215102;R7y:212397,,73992.0,45790.0,26730.0,69830.0,42128.0,31934.0,38.7,-28.8,,,
L,4,12,-7,-14,-8,-21,106.18,106.18,-50.84,-0.17595,0.60644,-0.77542,zhao_uCT_match,1,131,-8.0,-15.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Tm5a"": 1, ""Tm5b"": 1}",R7p:176520;R8p:194082,,73865.0,45148.0,26205.0,69762.0,41711.0,31527.0,37.6,-27.1,,,
L,4,13,-6,-14,-9,-20,111.54,111.54,-47.95,-0.24586,0.623,-0.74258,zhao_uCT_match,1,148,-7.0,-15.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1}",R7_unclear:185229;R8_unclear:192572,,73714.0,44613.0,25792.0,69813.0,41381.0,31163.0,36.0,-26.0,,,
