side,hex1,hex2,az_deg_ipsi,el_deg,dir_front,dir_left,dir_up,source
L,13,7,26.04,-31.73,0.76426,0.37334,-0.52585,zhao_uCT_match
L,13,8,31.35,-29.82,0.74093,0.45131,-0.49734,zhao_uCT_match
L,13,9,35.87,-28.0,0.71551,0.51735,-0.46946,zhao_uCT_match
L,13,10,40.24,-26.03,0.68596,0.58041,-0.43884,zhao_uCT_match
L,13,11,45.05,-23.7,0.64694,0.64798,-0.40199,zhao_uCT_match
L,13,12,49.59,-21.5,0.60313,0.70847,-0.36648,zhao_uCT_match
L,13,13,53.97,-19.38,0.55483,0.76289,-0.3319,zhao_uCT_match
L,13,14,58.49,-17.29,0.49898,0.81408,-0.29713,zhao_uCT_match
L,13,15,62.71,-15.32,0.44215,0.85713,-0.26427,zhao_uCT_match
L,13,16,67.07,-13.2,0.37928,0.89667,-0.22832,zhao_uCT_match
L,13,17,71.55,-11.26,0.31037,0.93033,-0.19533,zhao_uCT_match
L,13,18,76.0,-9.39,0.23873,0.95728,-0.16315,zhao_uCT_match
L,13,19,80.44,-7.38,0.16474,0.97793,-0.1285,zhao_uCT_match
L,13,20,84.84,-5.71,0.08945,0.99101,-0.09946,zhao_uCT_match
L,13,21,89.16,-3.75,0.0147,0.99775,-0.06543,zhao_uCT_match
L,13,22,93.6,-2.01,-0.06279,0.99741,-0.03515,zhao_uCT_match
L,13,23,97.96,-0.26,-0.13857,0.99034,-0.00453,zhao_uCT_match
L,13,24,101.95,0.92,-0.20695,0.97822,0.01613,zhao_uCT_match
L,13,25,106.55,2.03,-0.28459,0.95799,0.0355,zhao_uCT_match
L,13,26,112.08,3.31,-0.3752,0.92514,0.05773,zhao_uCT_match
L,13,27,118.1,3.78,-0.46993,0.88024,0.06594,zhao_uCT_match
L,13,28,124.79,4.0,-0.56911,0.81929,0.06977,zhao_uCT_match
L,13,29,132.1,4.29,-0.66853,0.73991,0.07483,zhao_uCT_match
L,13,30,141.02,4.06,-0.77547,0.62741,0.07078,zhao_uCT_match
L,13,31,151.26,3.02,-0.87562,0.48011,0.05265,zhao_uCT_match
L,13,32,159.02,3.1,-0.93232,0.35755,0.05413,extrapolated_local_linear
L,14,2,-6.57,-36.51,0.79845,-0.09197,-0.595,extrapolated_local_linear
L,14,3,-0.2,-34.73,0.82181,-0.0029,-0.56975,zhao_uCT_match
L,14,4,6.55,-33.62,0.82726,0.09496,-0.55374,zhao_uCT_match
L,14,5,12.05,-32.04,0.82902,0.17695,-0.53048,zhao_uCT_match
L,14,6,17.09,-30.39,0.82449,0.25353,-0.5059,zhao_uCT_match
L,14,7,22.26,-28.51,0.81318,0.33293,-0.47738,zhao_uCT_match
L,14,8,27.76,-26.43,0.79236,0.41713,-0.44517,zhao_uCT_match
L,14,9,32.39,-24.55,0.76806,0.48723,-0.41556,zhao_uCT_match
L,14,10,36.89,-22.91,0.73673,0.55288,-0.38931,zhao_uCT_match
L,14,11,41.55,-20.76,0.6998,0.62017,-0.3545,zhao_uCT_match
L,14,12,45.99,-18.59,0.6585,0.68169,-0.31887,zhao_uCT_match
L,14,13,50.15,-16.66,0.61393,0.73548,-0.28662,zhao_uCT_match
L,14,14,54.03,-14.48,0.56871,0.78361,-0.25006,zhao_uCT_match
L,14,15,58.29,-12.46,0.51324,0.83066,-0.21584,zhao_uCT_match
L,14,16,62.34,-10.39,0.45667,0.87118,-0.18028,zhao_uCT_match
L,14,17,66.76,-8.41,0.39042,0.90896,-0.14618,zhao_uCT_match
L,14,18,71.28,-6.83,0.31874,0.94035,-0.11893,zhao_uCT_match
L,14,19,75.71,-4.9,0.24596,0.9655,-0.08547,zhao_uCT_match
L,14,20,79.92,-2.95,0.17475,0.98327,-0.05148,zhao_uCT_match
L,14,21,83.96,-1.19,0.10525,0.99423,-0.02085,zhao_uCT_match
L,14,22,88.24,0.33,0.03076,0.99951,0.00576,zhao_uCT_match
L,14,23,92.82,1.8,-0.04917,0.9983,0.03135,zhao_uCT_match
L,14,24,97.45,3.26,-0.12938,0.98996,0.05687,zhao_uCT_match
L,14,25,101.6,3.97,-0.20063,0.97722,0.06925,zhao_uCT_match
L,14,26,106.6,5.47,-0.2844,0.95396,0.09525,zhao_uCT_match
L,14,27,112.34,6.37,-0.37781,0.9192,0.11101,zhao_uCT_match
L,14,28,118.26,7.03,-0.46994,0.87416,0.12244,zhao_uCT_match
L,14,29,125.32,7.68,-0.57295,0.80862,0.13364,zhao_uCT_match
L,14,30,133.34,8.08,-0.67955,0.72005,0.14048,zhao_uCT_match
L,14,31,142.87,7.76,-0.78992,0.59814,0.1351,zhao_uCT_match
L,14,32,151.8,7.87,-0.87296,0.46817,0.13697,zhao_uCT_match
L,15,2,-9.59,-33.87,0.81869,-0.13831,-0.55732,extrapolated_local_linear
L,15,3,-3.82,-33.95,0.82772,-0.05533,-0.5584,zhao_uCT_match
L,15,4,3.03,-31.09,0.85518,0.04524,-0.51636,zhao_uCT_match
L,15,5,8.96,-29.25,0.86184,0.1359,-0.48864,zhao_uCT_match
L,15,6,13.98,-27.22,0.86294,0.21476,-0.4574,zhao_uCT_match
L,15,7,18.88,-25.3,0.85544,0.29255,-0.42736,zhao_uCT_match
L,15,8,24.14,-23.52,0.83675,0.37502,-0.39901,zhao_uCT_match
L,15,9,29.11,-21.41,0.81341,0.45295,-0.36496,zhao_uCT_match
L,15,10,33.56,-19.52,0.78544,0.521,-0.33412,zhao_uCT_match
L,15,11,38.03,-17.72,0.75032,0.58682,-0.30442,zhao_uCT_match
L,15,12,42.32,-15.86,0.71129,0.64759,-0.2733,zhao_uCT_match
L,15,13,46.63,-14.06,0.66618,0.70513,-0.24289,zhao_uCT_match
L,15,14,50.49,-12.16,0.6219,0.75423,-0.21065,zhao_uCT_match
L,15,15,54.04,-9.85,0.57861,0.79747,-0.17107,zhao_uCT_match
L,15,16,57.96,-7.75,0.52571,0.83989,-0.13492,zhao_uCT_match
L,15,17,62.11,-5.9,0.46527,0.87918,-0.10277,zhao_uCT_match
L,15,18,66.3,-4.19,0.40086,0.91322,-0.07305,zhao_uCT_match
L,15,19,70.9,-2.53,0.32692,0.94402,-0.04418,zhao_uCT_match
L,15,20,75.27,-0.91,0.25417,0.96703,-0.01593,zhao_uCT_match
L,15,21,79.29,0.77,0.18584,0.98249,0.01342,zhao_uCT_match
L,15,22,83.25,2.21,0.11748,0.99233,0.03849,zhao_uCT_match
L,15,23,87.89,3.19,0.03679,0.99777,0.0557,zhao_uCT_match
